CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE
0,135000,568800,20560.5,450000
0,99000,222768,17370,180000
0,202500,663264,69777,630000
2,315000,1575000,49018.5,1575000
1,180000,625500,32067,625500
0,270000,959688,34600.5,810000
2,180000,499221,22117.5,373500
0,166500,180000,14220,180000
0,315000,364896,28957.5,315000
1,162000,45000,5337,45000
0,67500,675000,25447.5,675000
0,135000,261621,16848,216000
0,247500,296280,23539.5,225000
0,90000,360000,18535.5,360000
0,180000,157500,7875,157500
0,180000,296280,21690,225000
0,202500,407520,26041.5,360000
0,90000,499221,22117.5,373500
1,225000,431280,23526,360000
0,175500,478498.5,46741.5,454500
0,99000,225000,19242,225000
0,157500,266652,16443,202500
0,135000,540000,27702,540000
1,337500,1313212.5,42493.5,1012500
0,157500,539100,29245.5,450000
0,76500,225000,12334.5,225000
0,112500,256032,10759.5,180000
0,225000,501363,25726.5,418500
0,90000,450000,23107.5,450000
0,360000,945000,34074,945000
0,180000,490374,35811,400500
1,102150,335592,21577.5,265500
0,67500,431280,17797.5,360000
0,112500,364896,20947.5,315000
0,171000,819792,39568.5,720000
0,121500,119925,13563,112500
0,270000,1800000,98770.5,1800000
1,121500,450000,35685,450000
2,405000,513040.5,61015.5,472500
0,112500,360000,28570.5,360000
0,175500,247500,12766.5,247500
0,67500,463500,33921,463500
0,211500,539100,27652.5,450000
0,225000,792162,40576.5,630000
1,180000,729792,37390.5,630000
0,202500,798777,51178.5,697500
0,157500,261000,26874,261000
1,180000,431280,22149,360000
0,112500,360000,28570.5,360000
1,229500,544500,42268.5,544500
3,202500,207396,13383,157500
0,360000,1024740,43546.5,900000
0,270000,2013840,83110.5,1800000
0,157500,869049,31342.5,733500
3,180000,315000,16213.5,315000
0,157500,1125000,65313,1125000
1,144000,450000,23107.5,450000
1,202500,300735,16443,243000
0,135000,278505,15237,211500
0,157500,594121.5,30465,472500
0,99000,130320,9873,112500
0,40500,90000,7110,90000
0,175500,261801,18747,234000
1,202500,675000,25578,675000
